Date,Rater,Correct Answer 3 Label,Correct Answer 5 Label,Rater Answer 3 Label,Rater Answer 5 Label,Task ID,3-Label Agreement,5-Label Agreement
10-09-2005,A,High,Intermediate,High,Bad,1,yes,no
10-28-2005,A,Low,Exceptional,High,Great,2,no,no
10-12-2005,C,Average,Bad,Low,Okay,3,no,no
10-22-2005,C,High,Exceptional,Low,Bad,4,no,no
10-23-2005,E,High,Great,High,Exceptional,5,yes,no
10-29-2005,E,Average,Intermediate,Average,Intermediate,6,yes,yes
10-20-2005,C,Low,Exceptional,High,Intermediate,7,no,no
10-12-2005,E,Low,Great,Average,Bad,8,no,no
10-02-2005,D,Average,Great,High,Exceptional,9,no,no
10-24-2005,B,High,Intermediate,Low,Intermediate,10,no,yes
10-20-2005,D,Low,Great,Average,Intermediate,11,no,no
10-09-2005,E,High,Bad,High,Okay,12,yes,no
10-18-2005,C,High,Intermediate,High,Bad,13,yes,no
10-05-2005,A,High,Great,Average,Bad,14,no,no
10-25-2005,C,High,Exceptional,Average,Intermediate,15,no,no
10-10-2005,E,Low,Intermediate,High,Intermediate,16,no,yes
10-18-2005,A,Low,Great,High,Bad,17,no,no
10-19-2005,B,High,Intermediate,Low,Great,18,no,no
10-26-2005,D,High,Okay,Low,Okay,19,no,yes
10-10-2005,A,Low,Intermediate,High,Intermediate,20,no,yes
10-01-2005,D,Low,Exceptional,High,Bad,21,no,no
10-21-2005,C,High,Bad,Average,Okay,22,no,no
10-26-2005,A,Low,Okay,Average,Intermediate,23,no,no
10-26-2005,E,Low,Great,High,Okay,24,no,no
10-12-2005,D,High,Great,Low,Exceptional,25,no,no
10-21-2005,B,Low,Intermediate,High,Great,26,no,no
10-13-2005,C,High,Exceptional,Average,Intermediate,27,no,no
10-06-2005,D,Low,Exceptional,Average,Intermediate,28,no,no
10-18-2005,D,Low,Okay,Low,Intermediate,29,yes,no
10-12-2005,B,Low,Exceptional,Low,Exceptional,30,yes,yes
10-19-2005,B,High,Exceptional,Low,Exceptional,31,no,yes
10-25-2005,E,High,Great,Average,Exceptional,32,no,no
10-03-2005,C,Average,Okay,Low,Exceptional,33,no,no
10-02-2005,B,Average,Exceptional,High,Bad,34,no,no
10-27-2005,D,Low,Exceptional,Average,Intermediate,35,no,no
10-23-2005,B,Low,Intermediate,High,Exceptional,36,no,no
10-27-2005,B,High,Bad,Average,Okay,37,no,no
10-23-2005,D,Low,Exceptional,High,Bad,38,no,no
10-06-2005,A,Average,Bad,Low,Exceptional,39,no,no
10-29-2005,A,High,Bad,High,Great,40,yes,no
10-07-2005,E,High,Okay,Average,Bad,41,no,no
10-07-2005,C,Average,Intermediate,Low,Exceptional,42,no,no
10-14-2005,B,High,Intermediate,Average,Okay,43,no,no
